PLAYER,TEAM,INJURED ON,RETURNED,DAYS MISSED,Injury
Nicolas Batum,Hornets,07 January 2017,10 January 2017,3,Hyperextended/strained right knee
Malcolm Brogdon,Pacers,28 October 2021,03 November 2021,6,Sore/strained left hamstring
Elfrid Payton,Magic,21 October 2017,08 November 2017,18,Sore/strained left hamstring
Matthew Dellavedova,Cavaliers,03 February 2016,18 February 2016,15,Sore/strained left hamstring
Dion Waiters,Heat,28 November 2016,04 January 2017,37,Strained / torn (p) right groin
Reggie Jackson,Pistons,13 April 2016,17 April 2016,4,Strained abdominal muscle
Jae Crowder,Mavericks,11 March 2014,16 March 2014,5,Strained abdominal muscle
Avery Bradley,Celtics,11 January 2017,16 January 2017,5,Strained achilles
DeMarcus Cousins,Kings,03 November 2015,09 November 2015,6,Strained achilles
LeBron James,Lakers,09 March 2025,22 March 2025,13,Strained groin
Cody Martin,Hornets,08 January 2024,14 January 2024,6,Strained groin
Grayson Allen,Suns,07 December 2023,15 December 2023,8,Strained groin
Jimmy Butler,76ers,12 December 2018,16 December 2018,4,Strained groin
George Hill,Jazz,29 March 2017,10 April 2017,12,Strained groin
Danilo Gallinari,Nuggets,03 February 2017,23 February 2017,20,Strained groin
Derrick Rose,Bulls,05 April 2012,08 April 2012,3,Strained groin
Jamal Murray,Nuggets,05 November 2023,29 November 2023,24,Strained hamstring
J.J. Barea,Mavericks,25 January 2017,10 March 2017,44,Strained hamstring
Chris Paul,Clippers,04 May 2015,08 May 2015,4,Strained hamstring
DeMarre Carroll,Hawks,30 January 2015,02 February 2015,3,Strained left achilles
Marcus Smart,Celtics,15 December 2014,19 December 2014,4,Strained left achilles
Anthony Davis,Mavericks,09 February 2025,24 March 2025,43,Strained left adductor
Scoot Henderson,Blazers,22 February 2024,09 March 2024,16,Strained left adductor
Clint Capela,Hawks,04 February 2024,22 February 2024,18,Strained left adductor
Fred VanVleet,Rockets,05 February 2024,21 February 2024,16,Strained left adductor
Derrick Jones Jr.,Bulls,14 February 2023,23 February 2023,9,Strained left adductor
DeMar DeRozan,Bulls,24 March 2022,26 March 2022,2,Strained left adductor
Patrick Beverley,Timberwolves,26 November 2021,08 December 2021,12,Strained left adductor
Al Horford,Celtics,25 October 2021,27 October 2021,2,Strained left adductor
Gary Harris,Magic,12 April 2021,14 April 2021,2,Strained left adductor
Gary Harris,Magic,18 February 2021,08 April 2021,49,Strained left adductor
Tyler Johnson,Nets,21 February 2021,23 February 2021,2,Strained left adductor
Gary Harris,Nuggets,01 February 2021,17 February 2021,16,Strained left adductor
Furkan Korkmaz,76ers,28 December 2020,17 January 2021,20,Strained left adductor
Kent Bazemore,Hawks,05 April 2019,07 April 2019,2,Strained left adductor
J.J. Barea,Mavericks,19 November 2018,21 November 2018,2,Strained left adductor
Delon Wright,Raptors,25 October 2018,29 October 2018,4,Strained left adductor
DeAndre' Bembry,Hawks,09 February 2018,11 February 2018,2,Strained left adductor
Isaiah Canaan,Suns,07 January 2018,14 January 2018,7,Strained left adductor
Chris Paul,Rockets,21 December 2017,29 December 2017,8,Strained left adductor
Giannis Antetokounmpo,Bucks,09 February 2025,20 February 2025,11,Strained left calf
Luka Doncic,Lakers,25 December 2024,10 February 2025,47,Strained left calf
Draymond Green,Warriors,19 January 2025,03 February 2025,15,Strained left calf
Gary Payton II,Warriors,26 December 2024,15 January 2025,20,Strained left calf
Joe Ingles,Timberwolves,27 November 2024,27 December 2024,30,Strained left calf
Keldon Johnson,Spurs,13 December 2024,19 December 2024,6,Strained left calf
Gradey Dick,Raptors,25 November 2024,05 December 2024,10,Strained left calf
Kevin Durant,Suns,09 November 2024,25 November 2024,16,Strained left calf
Josh Richardson,Heat,30 October 2024,01 November 2024,2,Strained left calf
Gordon Hayward,Thunder,27 December 2023,21 February 2024,56,Strained left calf
Moses Moody,Warriors,11 January 2024,04 February 2024,24,Strained left calf
Rui Hachimura,Lakers,02 January 2024,13 January 2024,11,Strained left calf
Jimmy Butler,Heat,19 December 2023,30 December 2023,11,Strained left calf
Kristaps Porzingis,Celtics,25 November 2023,08 December 2023,13,Strained left calf
Gary Trent Jr.,Raptors,14 February 2023,22 February 2023,8,Strained left calf
Luka Doncic,Mavericks,12 April 2022,23 April 2022,11,Strained left calf
Bojan Bogdanovic,Jazz,14 March 2022,31 March 2022,17,Strained left calf
Rudy Gobert,Jazz,24 January 2022,14 February 2022,21,Strained left calf
Dean Wade,Cavaliers,27 November 2021,08 December 2021,11,Strained left calf
Yuta Watanabe,Raptors,26 November 2021,28 November 2021,2,Strained left calf
Yuta Watanabe,Raptors,19 October 2021,24 November 2021,36,Strained left calf
Semi Ojeleye,Bucks,18 October 2021,27 October 2021,9,Strained left calf
Ty Jerome,Thunder,08 May 2021,14 May 2021,6,Strained left calf
P.J. Tucker,Bucks,26 March 2021,14 April 2021,19,Strained left calf
Kyle Kuzma,Lakers,08 April 2021,12 April 2021,4,Strained left calf
Trey Burke,Mavericks,07 April 2021,08 April 2021,1,Strained left calf
OG Anunoby,Raptors,27 January 2021,16 February 2021,20,Strained left calf
Jaylen Nowell,Timberwolves,22 December 2020,05 January 2021,14,Strained left calf
D.J. Augustin,Bucks,23 December 2020,25 December 2020,2,Strained left calf
Patrick Beverley,Clippers,19 August 2020,03 September 2020,15,Strained left calf
Patrick Beverley,Clippers,05 August 2020,17 August 2020,12,Strained left calf
Andre Drummond,Cavaliers,02 March 2020,08 March 2020,6,Strained left calf
Andre Drummond,Cavaliers,26 February 2020,29 February 2020,3,Strained left calf
Bruno Fernando,Hawks,07 February 2020,09 February 2020,2,Strained left calf
Bruno Fernando,Hawks,28 January 2020,05 February 2020,8,Strained left calf
Isaiah Thomas,Wizards,06 December 2019,16 December 2019,10,Strained left calf
Aron Baynes,Suns,02 December 2019,09 December 2019,7,Strained left calf
Michael Kidd-Gilchrist,Hornets,02 December 2019,04 December 2019,2,Strained left calf
Kyle O'Quinn,76ers,25 November 2019,30 November 2019,5,Strained left calf
Troy Brown Jr.,Wizards,23 October 2019,29 October 2019,6,Strained left calf
Taj Gibson,Timberwolves,03 April 2019,10 April 2019,7,Strained left calf
Goran Dragic,Heat,04 March 2019,08 March 2019,4,Strained left calf
Tristan Thompson,Cavaliers,14 December 2017,16 December 2017,2,Strained left calf
Tristan Thompson,Cavaliers,03 November 2017,12 December 2017,39,Strained left calf
Greg Monroe,Suns,10 November 2017,16 November 2017,6,Strained left calf
Rodney Hood,Jazz,21 October 2017,25 October 2017,4,Strained left calf
Kevin Durant,Warriors,19 April 2017,24 April 2017,5,Strained left calf
Moe Harkless,Blazers,25 January 2017,29 January 2017,4,Strained left calf
Moe Harkless,Blazers,13 January 2017,16 January 2017,3,Strained left calf
J.J. Barea,Mavericks,23 November 2016,19 December 2016,26,Strained left calf
Vince Carter,Grizzlies,12 March 2016,19 March 2016,7,Strained left calf
Goran Dragic,Heat,13 January 2016,29 January 2016,16,Strained left calf
Jerami Grant,76ers,14 January 2016,18 January 2016,4,Strained left calf
D'Angelo Russell,Lakers,22 January 2017,31 January 2017,9,Strained left calf / sprained ligament in right knee
Danilo Gallinari,Clippers,17 November 2017,06 December 2017,19,Strained left gluteus muscle
Svi Mykhailiuk,Jazz,12 December 2024,19 December 2024,7,Strained left groin
Tre Mann,Hornets,08 March 2024,13 March 2024,5,Strained left groin
Jae Crowder,Bucks,12 November 2023,16 January 2024,65,Strained left groin
Alperen Sengun,Rockets,13 March 2023,15 March 2023,2,Strained left groin
Devin Booker,Suns,27 December 2022,06 February 2023,41,Strained left groin
Donovan Mitchell,Cavaliers,18 January 2023,24 January 2023,6,Strained left groin
Norman Powell,Clippers,30 November 2022,21 December 2022,21,Strained left groin
Tyler Herro,Heat,23 May 2022,29 May 2022,6,Strained left groin
Anthony Davis,Lakers,01 June 2021,03 June 2021,2,Strained left groin
Collin Sexton,Cavaliers,11 April 2021,15 April 2021,4,Strained left groin
Darius Miller,Thunder,07 April 2021,08 April 2021,1,Strained left groin
Evan Fournier,Magic,14 March 2021,18 March 2021,4,Strained left groin
Darius Garland,Cavaliers,12 March 2021,14 March 2021,2,Strained left groin
Devonte' Graham,Hornets,06 February 2021,12 February 2021,6,Strained left groin
Goran Dragic,Heat,27 January 2021,01 February 2021,5,Strained left groin
Jahmi'us Ramsey,Kings,14 January 2021,30 January 2021,16,Strained left groin
Tim Hardaway Jr.,Mavericks,17 January 2021,18 January 2021,1,Strained left groin
Pat Connaughton,Bucks,04 January 2021,09 January 2021,5,Strained left groin
Marvin Williams,Bucks,31 July 2020,02 August 2020,2,Strained left groin
Derrick Jones Jr.,Heat,27 October 2019,05 November 2019,9,Strained left groin
Trevor Ariza,Wizards,23 March 2019,26 March 2019,3,Strained left groin
George Hill,Bucks,25 February 2019,09 March 2019,12,Strained left groin
Raul Neto,Jazz,12 January 2019,06 February 2019,25,Strained left groin
LeBron James,Lakers,27 December 2018,31 January 2019,35,Strained left groin
Robert Williams,Celtics,27 December 2018,07 January 2019,11,Strained left groin
Stephen Curry,Warriors,10 November 2018,01 December 2018,21,Strained left groin
DeAndre' Bembry,Hawks,05 January 2018,04 February 2018,30,Strained left groin
J.J. Barea,Mavericks,16 January 2018,20 January 2018,4,Strained left groin
Caris LeVert,Nets,03 January 2018,08 January 2018,5,Strained left groin
Ish Smith,76ers,11 April 2015,13 April 2015,2,Strained left groin
Lance Thomas,Knicks,25 February 2015,27 February 2015,2,Strained left groin
Marco Belinelli,Spurs,13 January 2015,04 February 2015,22,Strained left groin
Anthony Davis,Pelicans,30 January 2015,02 February 2015,3,Strained left groin
Wilson Chandler,Nuggets,09 April 2012,15 April 2012,6,Strained left groin
Kevin Love,Timberwolves,24 March 2011,30 March 2011,6,Strained left groin
Danny Green,Spurs,25 October 2016,09 November 2016,15,Strained left quadricep
Patrick Patterson,Rockets,31 October 2012,02 November 2012,2,Strained left quadricep
J.J. Barea,Mavericks,17 March 2018,20 March 2018,3,Strained left rib muscle
Myles Turner,Pacers,07 February 2025,18 February 2025,11,Strained neck
Sam Merrill,Cavaliers,10 April 2024,19 April 2024,9,Strained neck
Al Horford,Celtics,30 January 2024,31 January 2024,1,Strained neck
Darius Garland,Cavaliers,14 November 2023,17 November 2023,3,Strained neck
Daniel Gafford,Wizards,25 March 2022,27 March 2022,2,Strained neck
Wesley Matthews,Lakers,04 April 2021,06 April 2021,2,Strained neck
Bam Adebayo,Heat,02 October 2020,06 October 2020,4,Strained neck
Malcolm Miller,Raptors,30 January 2020,04 February 2020,5,Strained neck
Jonas Valanciunas,Raptors,12 April 2013,16 April 2013,4,Strained neck
CJ McCollum,Pelicans,01 November 2024,25 November 2024,24,Strained right adductor
Vit Krejci,Hawks,18 November 2024,19 November 2024,1,Strained right adductor
Zach LaVine,Bulls,04 November 2024,09 November 2024,5,Strained right adductor
Giannis Antetokounmpo,Bucks,04 November 2024,07 November 2024,3,Strained right adductor
Coby White,Bulls,04 February 2022,07 February 2022,3,Strained right adductor
Javonte Green,Bulls,01 January 2022,24 January 2022,23,Strained right adductor
James Johnson,Pelicans,20 April 2021,28 April 2021,8,Strained right adductor
Anthony Davis,Lakers,08 January 2021,10 January 2021,2,Strained right adductor
Gary Harris,Nuggets,15 January 2020,24 January 2020,9,Strained right adductor
Delon Wright,Mavericks,08 December 2019,14 December 2019,6,Strained right adductor
Lonzo Ball,Pelicans,09 November 2019,21 November 2019,12,Strained right adductor
Rondae Hollis-Jefferson,Nets,02 January 2019,16 January 2019,14,Strained right adductor
Eric Gordon,Rockets,05 November 2018,10 November 2018,5,Strained right adductor
Pat Connaughton,Bucks,22 February 2025,11 March 2025,17,Strained right calf
Evan Mobley,Cavaliers,18 January 2025,25 January 2025,7,Strained right calf
Aaron Gordon,Nuggets,26 December 2024,12 January 2025,17,Strained right calf
Trey Lyles,Kings,26 November 2024,21 December 2024,25,Strained right calf
Aaron Gordon,Nuggets,07 December 2024,08 December 2024,1,Strained right calf
Aaron Gordon,Nuggets,05 November 2024,01 December 2024,26,Strained right calf
Kristaps Porzingis,Celtics,30 April 2024,05 June 2024,36,Strained right calf
Luke Kornet,Celtics,20 April 2024,27 April 2024,7,Strained right calf
Doug McDermott,Pacers,27 February 2024,20 March 2024,22,Strained right calf
Ivica Zubac,Clippers,05 February 2024,06 February 2024,1,Strained right calf
Gary Harris,Magic,04 January 2024,02 February 2024,29,Strained right calf
Gary Harris,Magic,27 December 2023,31 December 2023,4,Strained right calf
Devin Booker,Suns,04 November 2023,14 November 2023,10,Strained right calf
Ish Wainright,Blazers,25 October 2023,12 November 2023,18,Strained right calf
Wesley Matthews,Hawks,25 October 2023,11 November 2023,17,Strained right calf
Wesley Matthews,Bucks,18 April 2023,25 April 2023,7,Strained right calf
Karl-Anthony Towns,Timberwolves,30 November 2022,22 March 2023,112,Strained right calf
Wesley Matthews,Bucks,24 February 2023,13 March 2023,17,Strained right calf
Ivica Zubac,Clippers,02 March 2023,05 March 2023,3,Strained right calf
Ivica Zubac,Clippers,23 February 2023,28 February 2023,5,Strained right calf
Damian Lillard,Blazers,05 November 2022,07 November 2022,2,Strained right calf
P.J. Tucker,Heat,07 April 2022,13 April 2022,6,Strained right calf
Vernon Carey Jr,Wizards,17 March 2022,07 April 2022,21,Strained right calf
Vernon Carey Jr.,Wizards,17 March 2022,07 April 2022,21,Strained right calf
Thanasis Antetokounmpo,Bucks,17 December 2021,18 December 2021,1,Strained right calf
Frank Ntilikina,Mavericks,22 November 2021,03 December 2021,11,Strained right calf
Anthony Gill,Wizards,22 October 2021,06 November 2021,15,Strained right calf
John Henson,Knicks,07 April 2021,15 April 2021,8,Strained right calf
Davis Bertans,Wizards,19 March 2021,02 April 2021,14,Strained right calf
Kevin Love,Cavaliers,26 December 2020,12 March 2021,76,Strained right calf
Wayne Ellington,Pistons,05 February 2021,09 February 2021,4,Strained right calf
Gary Trent Jr.,Blazers,30 December 2020,02 January 2021,3,Strained right calf
Dejounte Murray,Spurs,10 March 2020,31 July 2020,143,Strained right calf
Alex Caruso,Lakers,23 November 2019,25 November 2019,2,Strained right calf
Kevin Durant,Warriors,10 May 2019,10 June 2019,31,Strained right calf
Cameron Payne,Bulls,21 December 2018,23 December 2018,2,Strained right calf
Damian Lillard,Blazers,07 January 2018,10 January 2018,3,Strained right calf
Kevin Durant,Warriors,04 January 2018,10 January 2018,6,Strained right calf
Aaron Gordon,Magic,17 December 2017,28 December 2017,11,Strained right calf
Wesley Matthews,Mavericks,15 March 2017,17 March 2017,2,Strained right calf
Markieff Morris,Wizards,27 March 2016,29 March 2016,2,Strained right calf
DeMarcus Cousins,Kings,20 March 2015,21 March 2015,1,Strained right calf
Thabo Sefolosha,Hawks,31 January 2015,16 March 2015,44,Strained right calf
Tobias Harris,Magic,22 November 2014,26 November 2014,4,Strained right calf
Kawhi Leonard,Spurs,29 February 2012,02 March 2012,2,Strained right calf
Isaiah Jackson,Pacers,23 October 2024,25 October 2024,2,Strained right groin
Jordan Clarkson,Jazz,15 March 2024,25 March 2024,10,Strained right groin
Gary Trent Jr.,Raptors,11 March 2024,15 March 2024,4,Strained right groin
Gary Harris,Magic,04 November 2023,15 November 2023,11,Strained right groin
Jarrett Allen,Cavaliers,28 March 2023,02 April 2023,5,Strained right groin
Wayne Ellington,Pistons,15 March 2021,24 March 2021,9,Strained right groin
Delon Wright,Pistons,21 February 2021,11 March 2021,18,Strained right groin
Damian Lillard,Blazers,02 March 2020,04 March 2020,2,Strained right groin
Jayson Tatum,Celtics,24 January 2020,30 January 2020,6,Strained right groin
Goran Dragic,Heat,03 December 2019,20 December 2019,17,Strained right groin
Rondae Hollis-Jefferson,Nets,27 January 2018,26 February 2018,30,Strained right groin
Thabo Sefolosha,Hawks,01 April 2017,11 April 2017,10,Strained right groin
Raul Neto,Jazz,07 April 2017,08 April 2017,1,Strained right groin
Gary Harris,Nuggets,26 October 2016,05 November 2016,10,Strained right groin
J.J. Barea,Mavericks,18 April 2016,21 April 2016,3,Strained right groin
J.J. Barea,Mavericks,13 April 2016,16 April 2016,3,Strained right groin
J.J. Barea,Mavericks,10 April 2016,11 April 2016,1,Strained right groin
Nikola Vucevic,Magic,08 March 2016,31 March 2016,23,Strained right groin
Marco Belinelli,Spurs,06 November 2014,21 November 2014,15,Strained right groin
LeBron James,Heat,28 December 2013,30 December 2013,2,Strained right groin
Aaron Gordon,Nuggets,26 November 2023,02 December 2023,6,Strained right heel
Kyrie Irving,Celtics,12 February 2019,21 February 2019,9,Strained right knee
Greg Monroe,Pistons,17 March 2015,08 April 2015,22,Strained right knee
Wilson Chandler,Nuggets,09 January 2015,14 January 2015,5,Strained right knee
Dwight Howard,Rockets,19 November 2014,13 December 2014,24,Strained right knee
Isaiah Hartenstein,Thunder,15 January 2025,25 January 2025,10,Strained soleus muscle in left calf
Jimmy Butler,Bulls,07 March 2016,14 March 2016,7,Strained/swollen left knee
Kevin Huerter,Bulls,07 April 2025,09 April 2025,2,Cervical strain
Marko Simonovic,Bulls,25 January 2023,31 January 2023,6,Cervical strain
Malcolm Brogdon,Pacers,01 August 2020,03 August 2020,2,Cervical strain
James Harden,Rockets,23 February 2019,25 February 2019,2,Cervical strain
Jordan Bell,Warriors,20 January 2018,26 February 2018,37,Left ankle inflammation
Xavier Tillman,Celtics,12 February 2025,25 February 2025,13,Left knee inflammation
Onyeka Okongwu,Hawks,18 December 2024,29 December 2024,11,Left knee inflammation
Terry Rozier,Heat,23 December 2024,26 December 2024,3,Left knee inflammation
Caris LeVert,Cavaliers,19 November 2024,29 November 2024,10,Left knee inflammation
Miles McBride,Knicks,17 November 2024,25 November 2024,8,Left knee inflammation
Nassir Little,Suns,29 February 2024,14 March 2024,14,Left knee inflammation
RJ Barrett,Raptors,28 January 2024,04 February 2024,7,Left knee inflammation
Bruce Brown,Nuggets,08 April 2023,09 April 2023,1,Left knee inflammation
Danilo Gallinari,Hawks,05 April 2022,06 April 2022,1,Left knee inflammation
Jeremy Lamb,Hornets,28 January 2017,31 January 2017,3,Metatarsal inflammation
Jaylen Brown,Celtics,06 December 2017,08 December 2017,2,Right eye inflammation
Derrick Rose,Bulls,24 February 2016,01 March 2016,6,Right hamstring tendinitis
Derrick Rose,Bulls,30 December 2015,05 January 2016,6,Right hamstring tendinitis/tightness
Andre Iguodala,Warriors,01 March 2016,03 March 2016,2,Tighness in hamstring
Nicolas Batum,76ers,30 January 2024,22 February 2024,23,Tightness in left hamstring
Lonnie Walker IV,Nets,06 February 2024,10 February 2024,4,Tightness in left hamstring
Luke Kornet,Celtics,29 January 2024,04 February 2024,6,Tightness in left hamstring
Mike Conley,Timberwolves,27 January 2024,31 January 2024,4,Tightness in left hamstring
Jahlil Okafor,76ers,30 December 2016,03 January 2017,4,Tightness in left hamstring
Andre Iguodala,Warriors,07 March 2016,09 March 2016,2,Tightness in left hamstring
Nicolas Claxton,Nets,14 January 2025,15 January 2025,1,Tightness in right hamstring
Luke Kornet,Celtics,24 November 2024,29 November 2024,5,Tightness in right hamstring
Keldon Johnson,Spurs,23 November 2024,26 November 2024,3,Tightness in right hamstring
Zion Williamson,Pelicans,03 November 2024,06 November 2024,3,Tightness in right hamstring
Kristaps Porzingis,Celtics,09 March 2024,18 March 2024,9,Tightness in right hamstring
Rudy Gobert,Timberwolves,10 March 2024,12 March 2024,2,Tightness in right hamstring
Kentavious Caldwell-Pope,Nuggets,08 February 2024,12 February 2024,4,Tightness in right hamstring
Dejounte Murray,Hawks,28 January 2024,30 January 2024,2,Tightness in right hamstring
Tre Jones,Spurs,12 November 2023,18 November 2023,6,Tightness in right hamstring
Precious Achiuwa,Raptors,22 March 2023,26 March 2023,4,Tightness in right hamstring
Jaylen Brown,Celtics,06 November 2021,22 November 2021,16,Tightness in right hamstring
James Harden,Nets,06 June 2021,15 June 2021,9,Tightness in right hamstring
Josh Richardson,Mavericks,24 April 2021,29 April 2021,5,Tightness in right hamstring
JJ Redick,76ers,21 December 2017,25 December 2017,4,Tightness in right hamstring
Spencer Dinwiddie,Nets,11 November 2017,14 November 2017,3,Tightness in right hamstring
Kyrie Irving,Cavaliers,31 December 2016,06 January 2017,6,Tightness in right hamstring
Bradley Beal,Wizards,12 November 2016,17 November 2016,5,Tightness in right hamstring
Brandon Clarke,Grizzlies,12 December 2019,14 December 2019,2,Left oblique injury
Brandon Clarke,Grizzlies,07 December 2019,11 December 2019,4,Left oblique injury
Maxi Kleber,Mavericks,02 November 2021,21 November 2021,19,Strained left oblique muscle
Kemba Walker,Celtics,27 April 2021,05 May 2021,8,Strained left oblique muscle
Rodions Kurucs,Bucks,01 March 2021,01 April 2021,31,Strained left oblique muscle
Desmond Bane,Grizzlies,31 October 2024,15 November 2024,15,Strained right oblique
Jose Alvarado,Pelicans,28 March 2024,07 April 2024,10,Strained right oblique
Dillon Brooks,Rockets,27 December 2023,13 January 2024,17,Strained right oblique
Marcus Smart,Celtics,09 April 2019,06 May 2019,27,Torn left oblique
Franz Wagner,Magic,07 December 2024,23 January 2025,47,Torn right oblique muscle
Paolo Banchero,Magic,31 October 2024,10 January 2025,71,Torn right oblique muscle
Ben McLemore,Kings,14 December 2016,16 December 2016,2,For quadriceps injury / rest
Jeremy Sochan,Spurs,23 February 2023,25 February 2023,2,Left quadriceps injury
Yuta Watanabe,Raptors,01 April 2022,08 April 2022,7,Left quadriceps injury
Domantas Sabonis,Pacers,15 May 2021,16 May 2021,1,Left quadriceps injury
Russell Westbrook,Wizards,11 January 2021,24 January 2021,13,Left quadriceps injury
Moe Harkless,Blazers,09 December 2017,13 December 2017,4,Left quadriceps injury
Devonte' Graham,Spurs,19 March 2023,21 March 2023,2,Left quadriceps tendon injury
Malcolm Brogdon,Bucks,02 February 2018,09 April 2018,66,Partially torn quadriceps tendon in left leg
Kawhi Leonard,Spurs,17 October 2017,12 December 2017,56,Rehab of right quadriceps
John Wall,Wizards,10 April 2017,12 April 2017,2,Rest / quadriceps injury
Devonte' Graham,Spurs,22 March 2023,24 March 2023,2,Right quadriceps injury
Jonas Valanciunas,Pelicans,05 February 2023,06 February 2023,1,Right quadriceps injury
Jaren Jackson Jr.,Grizzlies,29 February 2024,06 March 2024,6,Right quadriceps tendon injury
Jaren Jackson Jr.,Grizzlies,15 February 2024,23 February 2024,8,Right quadriceps tendon injury
De'Andre Hunter,Hawks,11 December 2023,16 December 2023,5,Right quadriceps tendon injury
Cody Zeller,Hornets,11 February 2017,28 February 2017,17,Sore quadriceps
Brandon Knight,Bucks,02 February 2015,04 February 2015,2,Sore right quadriceps
Ish Smith,Wizards,13 February 2021,02 April 2021,48,Strained right quadriceps
Russell Westbrook,Rockets,12 August 2020,28 August 2020,16,Strained right quadriceps
Davis Bertans,Wizards,23 December 2019,09 January 2020,17,Strained right quadriceps
Paul Millsap,Nuggets,14 December 2019,18 December 2019,4,Strained right quadriceps
Richaun Holmes,Suns,18 March 2019,21 March 2019,3,Strained right quadriceps
Wilson Chandler,Clippers,02 February 2019,08 March 2019,34,Strained right quadriceps
Dorian Finney-Smith,Mavericks,14 November 2017,10 March 2018,116,Tendinitis in left knee/quadriceps
Brandon Ingram,Lakers,23 December 2017,27 December 2017,4,Tendinitis in left quadriceps
DeMarcus Cousins,Warriors,18 April 2019,30 May 2019,42,Torn left quadriceps
Greg Whittington,Nuggets,19 January 2021,25 February 2021,37,Arthroscopic surgery on left knee
John Wall,Wizards,31 January 2018,31 March 2018,59,Arthroscopic surgery on left knee
D'Angelo Russell,Nets,17 November 2017,19 January 2018,63,Arthroscopic surgery on left knee
DeMarre Carroll,Nets,17 October 2018,09 November 2018,23,Arthroscopic surgery on right ankle
Blake Griffin,Clippers,20 December 2016,24 January 2017,35,Arthroscopic surgery on right knee
DeMarre Carroll,Raptors,06 January 2016,07 April 2016,92,Arthroscopic surgery on right knee
Eric Bledsoe,Suns,10 January 2014,12 March 2014,61,Arthroscopic surgery on right knee to repair meniscus cartilage
Doug McDermott,Bulls,13 December 2014,22 January 2015,40,Arthroscopic surgery on right knee to repair torn meniscus
Alec Burks,Jazz,01 November 2016,02 January 2017,62,Arthrosopic surgery on left ankle
Joakim Noah,Knicks,27 February 2017,29 March 2017,30,Arthrosopic surgery on left knee to remove loose body
Chris Boucher,Raptors,07 March 2025,08 March 2025,1,Dental surgery
Eric Gordon,76ers,22 December 2024,01 January 2025,10,Oral surgery
Josh Jackson,Pistons,04 May 2021,11 May 2021,7,Oral surgery
Joe Ingles,Jazz,16 December 2015,18 December 2015,2,Oral surgery
Darren Collison,Pacers,05 February 2018,09 March 2018,32,Recovering from arthroscopic surgery on left knee
Kevin Love,Cavaliers,14 February 2017,16 March 2017,30,Recovering from arthroscopic surgery on left knee to remove loose body
Rajon Rondo,Celtics,30 October 2013,17 January 2014,79,Recovering from surgery on left / right (p) knee to repair torn acl
Glenn Robinson III,Pacers,18 October 2017,23 February 2018,128,Recovering from surgery on left ankle
Lance Thomas,Knicks,10 November 2018,16 December 2018,36,Recovering from surgery on left knee
Moe Harkless,Blazers,27 March 2018,17 April 2018,21,Recovering from surgery on left knee
Nerlens Noel,76ers,26 October 2016,11 December 2016,46,Recovering from surgery on left knee
Patrick Beverley,Rockets,26 October 2016,17 November 2016,22,Recovering from surgery on left knee
Kyrie Irving,Cavaliers,27 October 2015,19 December 2015,53,Recovering from surgery on left knee to repair fractured kneecap
Ian Mahinmi,Wizards,27 October 2016,26 November 2016,30,Recovering from surgery on left knee to repair torn medial meniscus
Hassan Whiteside,Kings,26 December 2011,01 January 2012,6,Recovering from surgery on left knee to repair torn patella tendon
Al-Farouq Aminu,Magic,23 December 2020,09 February 2021,48,Recovering from surgery on right knee
Lou Williams,Hawks,30 October 2013,15 November 2013,16,Recovering from surgery on right knee
Zion Williamson,Pelicans,22 October 2019,22 January 2020,92,Recovering from surgery on right knee to repair torn meniscus
Danilo Gallinari,Nuggets,22 December 2014,23 January 2015,32,Recovering from surgery on right knee to repair torn meniscus
Michael Kidd-Gilchrist,Hornets,28 October 2015,29 January 2016,93,Recovering from surgery on right shoulder to repair torn labrum
Michael Carter-Williams,76ers,31 October 2014,13 November 2014,13,Recovering from surgery on right shoulder to repair torn labrum
Patty Mills,Spurs,28 October 2014,28 December 2014,61,Recovering from surgery on right shoulder to repair torn rotator cuff
Dante Exum,Jazz,18 October 2017,14 March 2018,147,Recovering from surgery on separated left shoulder
Mike Conley,Grizzlies,27 April 2015,05 May 2015,8,Recovering from surgery to repair facial fracture near left eye
Eric Gordon,Pelicans,23 January 2016,27 February 2016,35,Recovering from surgery to repair fractured right ring finger
Rajon Rondo,Pelicans,17 October 2017,13 November 2017,27,Recovering from surgery to repair sports hernia
Markieff Morris,Wizards,18 October 2017,01 November 2017,14,Recovering from surgery to repair sports hernia
DeMarcus Cousins,Warriors,16 October 2018,18 January 2019,94,Recovering from surgery to repair torn left achilles tendon
Solomon Hill,Pelicans,17 October 2017,18 March 2018,152,Recovering from surgery to repair torn left hamstring
Khris Middleton,Bucks,26 October 2016,08 February 2017,105,Recovering from surgery to repair torn left hamstring
Klay Thompson,Warriors,18 October 2021,08 January 2022,82,Recovering from surgery to repair torn right achilles tendon
Jalen Hood-Schifino,Lakers,21 March 2024,30 April 2024,40,Surgery on back
Brook Lopez,Bucks,02 December 2021,13 March 2022,101,Surgery on back
Duncan Robinson,Heat,08 January 2023,15 February 2023,38,Surgery on finger
Jordan McRae,Wizards,05 December 2019,26 December 2019,21,Surgery on finger
Trey Murphy III,Pelicans,07 September 2023,01 December 2023,85,Surgery on knee
Jabari Parker,Bucks,15 February 2017,08 April 2017,52,Surgery on left knee to repair torn acl
Kemba Walker,Hornets,28 January 2015,11 March 2015,42,Surgery on left knee to repair torn lateral meniscus
Kemba Walker,Hornets,09 May 2016,17 December 2016,222,Surgery on left knee to repair torn meniscus
